browser,id,label,format,t85_ms,t95_ms,visual_index,notes,error
chromium,jpeg-baseline,"JPEG Baseline",jpeg,86,86,0,"",""
chromium,jpeg-progressive,"JPEG Progressive",jpeg,39,39,0,"",""
chromium,webp,"WebP",webp,36,36,0,"",""
chromium,avif,"AVIF",avif,35,35,0,"",""
chromium,avif-progressive,"AVIF (progressive)",avif,35,35,0,"single-input progressive",""
firefox,jpeg-baseline,"JPEG Baseline",jpeg,174,174,0,"",""
firefox,jpeg-progressive,"JPEG Progressive",jpeg,88,88,0,"",""
firefox,webp,"WebP",webp,101,101,0,"",""
firefox,avif,"AVIF",avif,73,73,0,"",""
firefox,avif-progressive,"AVIF (progressive)",avif,97,97,0,"single-input progressive",""
webkit,jpeg-baseline,"JPEG Baseline",jpeg,221,221,0,"",""
webkit,jpeg-progressive,"JPEG Progressive",jpeg,65,65,0,"",""
webkit,webp,"WebP",webp,74,74,0,"",""
webkit,avif,"AVIF",avif,73,73,0,"",""
webkit,avif-progressive,"AVIF (progressive)",avif,75,75,0,"single-input progressive",""
