browser,id,label,format,t85,t95,visIndex,notes,error
chromium,jpeg-baseline,"JPEG Baseline",jpeg,567,2572,0.0752,"",""
chromium,jpeg-progressive,"JPEG Progressive",jpeg,55,1511,0.0394,"",""
chromium,webp,"WebP",webp,47,3436,0.0769,"",""
chromium,avif,"AVIF",avif,61,2250,0.0896,"",""
chromium,avif-progressive,"AVIF (progressive)",avif,59,1488,0.034,"single-input progressive",""
chromium,jxl,"JPEG XL",jxl,55,55,0,"",""
chromium,jxl-progressive,"JPEG XL (progressive)",jxl,58,58,0,"",""
chromium,png-interlaced,"PNG (Adam7)",png,59,59,0,"",""
firefox,jpeg-baseline,"JPEG Baseline",jpeg,161,1034,0.0465,"",""
firefox,jpeg-progressive,"JPEG Progressive",jpeg,22,270,0.0196,"",""
firefox,webp,"WebP",webp,19,1088,0.0518,"",""
firefox,avif,"AVIF",avif,21,867,0.0609,"",""
firefox,avif-progressive,"AVIF (progressive)",avif,19,1863,0.082,"single-input progressive",""
firefox,jxl,"JPEG XL",jxl,21,21,0,"",""
firefox,jxl-progressive,"JPEG XL (progressive)",jxl,21,21,0,"",""
firefox,png-interlaced,"PNG (Adam7)",png,21,5057,0.052,"",""
webkit,jpeg-baseline,"JPEG Baseline",jpeg,62,1608,0.0685,"",""
webkit,jpeg-progressive,"JPEG Progressive",jpeg,15,653,0.053,"",""
webkit,webp,"WebP",webp,15,1573,0.0791,"",""
webkit,avif,"AVIF",avif,15,835,0.062,"",""
webkit,avif-progressive,"AVIF (progressive)",avif,17,1842,0.0825,"single-input progressive",""
webkit,jxl,"JPEG XL",jxl,16,915,0.0642,"",""
webkit,jxl-progressive,"JPEG XL (progressive)",jxl,15,925,0.0645,"",""
webkit,png-interlaced,"PNG (Adam7)",png,14,14,0.0125,"",""
