browser,browser_version,id,label,format,t85,t95,visIndex,notes,error
chromium,"141.0.7390.37",jpeg-baseline,"JPEG Baseline",jpeg,85,2500,0.0758,"",""
chromium,"141.0.7390.37",jpeg-progressive,"JPEG Progressive",jpeg,43,1499,0.0397,"",""
chromium,"141.0.7390.37",webp,"WebP",webp,44,3397,0.077,"",""
chromium,"141.0.7390.37",avif,"AVIF",avif,60,60,0,"",""
chromium,"141.0.7390.37",avif-progressive,"AVIF (progressive)",avif,55,1461,0.0337,"single-input progressive",""
chromium,"141.0.7390.37",jxl,"JPEG XL",jxl,59,59,0,"",""
chromium,"141.0.7390.37",jxl-progressive,"JPEG XL (progressive)",jxl,47,47,0,"",""
chromium,"141.0.7390.37",png-interlaced,"PNG (Adam7)",png,54,54,0,"",""
firefox,"142.0.1",jpeg-baseline,"JPEG Baseline",jpeg,178,1031,0.0499,"",""
firefox,"142.0.1",jpeg-progressive,"JPEG Progressive",jpeg,22,273,0.0236,"",""
firefox,"142.0.1",webp,"WebP",webp,20,1088,0.0517,"",""
firefox,"142.0.1",avif,"AVIF",avif,18,810,0.0589,"",""
firefox,"142.0.1",avif-progressive,"AVIF (progressive)",avif,18,1851,0.0818,"single-input progressive",""
firefox,"142.0.1",jxl,"JPEG XL",jxl,22,22,0,"",""
firefox,"142.0.1",jxl-progressive,"JPEG XL (progressive)",jxl,18,18,0,"",""
firefox,"142.0.1",png-interlaced,"PNG (Adam7)",png,21,5050,0.052,"",""
webkit,"26.0",jpeg-baseline,"JPEG Baseline",jpeg,38,1529,0.0682,"",""
webkit,"26.0",jpeg-progressive,"JPEG Progressive",jpeg,16,659,0.0537,"",""
webkit,"26.0",webp,"WebP",webp,16,1584,0.0793,"",""
webkit,"26.0",avif,"AVIF",avif,16,839,0.0619,"",""
webkit,"26.0",avif-progressive,"AVIF (progressive)",avif,17,1871,0.0831,"single-input progressive",""
webkit,"26.0",jxl,"JPEG XL",jxl,14,911,0.0642,"",""
webkit,"26.0",jxl-progressive,"JPEG XL (progressive)",jxl,16,927,0.0646,"",""
webkit,"26.0",png-interlaced,"PNG (Adam7)",png,16,16,0.0124,"",""
