browser,browser_version,id,label,format,median_t85,p10_t85,p90_t85,median_t95,p10_t95,p90_t95,median_visIndex,p10_visIndex,p90_visIndex,notes,n_runs,errors
chromium,"141.0.7390.37",jpeg-baseline,"JPEG Baseline",jpeg,2324,2292,2356,2324,2292,2356,0.5985,0.59554,0.60146,"",2,""
chromium,"141.0.7390.37",jpeg-progressive,"JPEG Progressive",jpeg,1304,1302,1306,1304,1302,1306,0.3468,0.3468,0.3468,"",2,""
chromium,"141.0.7390.37",webp,"WebP",webp,3329,3306,3351,3329,3306,3351,0.79325,0.7815300000000001,0.80497,"",2,""
chromium,"141.0.7390.37",avif,"AVIF",avif,2146,2130,2162,2146,2130,2162,0.7180500000000001,0.71769,0.71841,"",2,""
chromium,"141.0.7390.37",avif-progressive,"AVIF (progressive)",avif,1304,1299,1308,1304,1299,1308,0.2526,0.25212,0.25307999999999997,"single-input progressive",2,""
chromium,"141.0.7390.37",jxl,"JPEG XL",jxl,359,353,365,359,353,365,0.023399999999999997,0.022760000000000002,0.02404,"",2,""
chromium,"141.0.7390.37",jxl-progressive,"JPEG XL (progressive)",jxl,359,353,365,359,353,365,0.0232,0.02248,0.02392,"",2,""
chromium,"141.0.7390.37",png-interlaced,"PNG (Adam7)",png,88,87,89,88,87,89,0,0,0,"",2,""
firefox,"142.0.1",jpeg-baseline,"JPEG Baseline",jpeg,434,204,664,434,204,664,0.2033,0.04066,0.36594000000000004,"",2,""
firefox,"142.0.1",jpeg-progressive,"JPEG Progressive",jpeg,148,133,162,148,133,162,0.0436,0.00872,0.07848000000000001,"",2,""
firefox,"142.0.1",webp,"WebP",webp,485,200,769,485,200,769,0.24745,0.049490000000000006,0.44541000000000003,"",2,""
firefox,"142.0.1",avif,"AVIF",avif,410,184,636,410,184,636,0.2203,0.04406,0.39654,"",2,""
firefox,"142.0.1",avif-progressive,"AVIF (progressive)",avif,897,286,1507,897,286,1507,0.33305,0.06661,0.5994900000000001,"single-input progressive",2,""
firefox,"142.0.1",jxl,"JPEG XL",jxl,64,61,66,64,61,66,0,0,0,"",2,""
firefox,"142.0.1",jxl-progressive,"JPEG XL (progressive)",jxl,62,62,62,62,62,62,0,0,0,"",2,""
firefox,"142.0.1",png-interlaced,"PNG (Adam7)",png,3140,738,5541,3140,738,5541,0.25555,0.05111,0.45999,"",2,""
webkit,"26.0",jpeg-baseline,"JPEG Baseline",jpeg,738,238,1237,738,238,1237,0.31055,0.06211,0.55899,"",2,""
webkit,"26.0",jpeg-progressive,"JPEG Progressive",jpeg,365,166,563,365,166,563,0.21785,0.04357,0.39213,"",2,""
webkit,"26.0",webp,"WebP",webp,756,244,1268,756,244,1268,0.3189,0.06378,0.5740200000000001,"",2,""
webkit,"26.0",avif,"AVIF",avif,396,154,638,396,154,638,0.22895,0.04579,0.41211,"",2,""
webkit,"26.0",avif-progressive,"AVIF (progressive)",avif,878,267,1488,878,267,1488,0.33645,0.06729,0.6056100000000001,"single-input progressive",2,""
webkit,"26.0",jxl,"JPEG XL",jxl,442,179,705,442,179,705,0.2419,0.048380000000000006,0.43542000000000003,"",2,""
webkit,"26.0",jxl-progressive,"JPEG XL (progressive)",jxl,443,181,705,443,181,705,0.242,0.0484,0.4356,"",2,""
webkit,"26.0",png-interlaced,"PNG (Adam7)",png,5560,1208,9911,5560,1208,9911,0.46125,0.09225,0.83025,"",2,""
